Method,Accuracy,Precision_yes,Recall_yes,F1_yes,ROC_AUC,PR_AUC
Baseline Logistic Regression,0.9009468317552805,0.6904761904761905,0.21875,0.3322422258592471,0.800785340700033,0.4642629169985401
Class Weighted Logistic Regression,0.8350327749453751,0.3678724708767627,0.646551724137931,0.46893317702227433,0.8009417454832776,0.45948076249896996
Random Oversampling,0.83709638261714,0.3712686567164179,0.6433189655172413,0.47082018927444796,0.801340054365772,0.4597073071344003
Random Undersampling,0.8310269482884195,0.3609112709832134,0.6487068965517241,0.4637904468412943,0.8005101213500636,0.4576199923899164
SMOTE,0.8285991745569313,0.358147713950762,0.6584051724137931,0.4639331814730448,0.8009675426906929,0.46017497993050444
Gradient Boosting,0.9010682204418549,0.672782874617737,0.23706896551724138,0.350597609561753,0.809162946955045,0.48147258150565797
Random Forest,0.855668851663025,0.4095634095634096,0.6368534482758621,0.4985238296077604,0.8134409347139016,0.4954434101940417
XGBoost,0.9017965525613013,0.6797583081570997,0.24245689655172414,0.3574265289912629,0.8128888007689044,0.4876287203221044
LightGBM,0.9011896091284293,0.6666666666666666,0.24568965517241378,0.3590551181102362,0.8123186824850228,0.4879362987422585
CatBoost,0.9021607186210245,0.698051948051948,0.23168103448275862,0.3478964401294498,0.808455292702486,0.484011595927758
Tuned Random Forest,0.8693857732459335,0.4421875,0.6099137931034483,0.5126811594202898,0.8118468884145478,0.48595623725958736
