Feature,test_statistic,p_value,significant
age,4.779542781151716,1.8047932698425664e-06,True
duration,55.50016620772211,0.0,True
campaign,-20.249378055806122,4.0995502865895136e-89,True
pdays,-32.25086914595007,1.6634324950908717e-206,True
previous,28.125533977780115,1.6759513761034952e-161,True
emp.var.rate,-59.13666291410404,0.0,True
cons.price.idx,-24.082466989605873,6.916521411453795e-122,True
cons.conf.idx,8.636457755508305,7.588202230494858e-18,True
euribor3m,-62.57987242559776,0.0,True
nr.employed,-60.975155908992825,0.0,True
